Classifier: J48 options: -C 0.25 -M 2 Window size: 256 Overlap: 30, 86.35371179039302%
Classifier: J48 options: -C 0.25 -M 2 Window size: 256 Overlap: 31, 87.28448275862068%
Classifier: J48 options: -C 0.25 -M 2 Window size: 256 Overlap: 32, 86.80851063829788%
Classifier: J48 options: -C 0.25 -M 2 Window size: 256 Overlap: 33, 88.65062761506276%
Classifier: J48 options: -C 0.25 -M 2 Window size: 256 Overlap: 34, 87.13991769547324%
Classifier: J48 options: -C 0.25 -M 2 Window size: 256 Overlap: 35, 88.16056910569105%
Classifier: J48 options: -C 0.25 -M 2 Window size: 256 Overlap: 36, 88.19721115537848%
Classifier: J48 options: -C 0.25 -M 2 Window size: 256 Overlap: 37, 88.09055118110236%
Classifier: J48 options: -C 0.25 -M 2 Window size: 256 Overlap: 38, 87.93436293436294%
Classifier: J48 options: -C 0.25 -M 2 Window size: 256 Overlap: 39, 88.35877862595419%
Classifier: J48 options: -C 0.25 -M 2 Window size: 256 Overlap: 40, 87.73408239700375%
Classifier: J48 options: -C 0.25 -M 2 Window size: 256 Overlap: 41, 89.49074074074073%
Classifier: J48 options: -C 0.25 -M 2 Window size: 256 Overlap: 42, 87.45487364620939%
Classifier: J48 options: -C 0.25 -M 2 Window size: 256 Overlap: 43, 87.98758865248227%
Classifier: J48 options: -C 0.25 -M 2 Window size: 256 Overlap: 44, 88.50524475524476%
Classifier: J48 options: -C 0.25 -M 2 Window size: 256 Overlap: 45, 88.09931506849315%
Classifier: J48 options: -C 0.25 -M 2 Window size: 256 Overlap: 46, 88.51351351351352%
Classifier: J48 options: -C 0.25 -M 2 Window size: 256 Overlap: 47, 87.45874587458746%
Classifier: J48 options: -C 0.25 -M 2 Window size: 256 Overlap: 48, 89.08279220779221%
Classifier: J48 options: -C 0.25 -M 2 Window size: 256 Overlap: 49, 89.64968152866241%
Classifier: J48 options: -C 0.25 -M 2 Window size: 256 Overlap: 50, 87.96875%
Classifier: J48 options: -C 0.25 -M 2 Window size: 512 Overlap: 0, 82.65625%
Classifier: J48 options: -C 0.25 -M 2 Window size: 512 Overlap: 1, 83.64197530864197%
Classifier: J48 options: -C 0.25 -M 2 Window size: 512 Overlap: 2, 83.23170731707317%
Classifier: J48 options: -C 0.25 -M 2 Window size: 512 Overlap: 3, 82.3170731707317%
Classifier: J48 options: -C 0.25 -M 2 Window size: 512 Overlap: 4, 85.54216867469879%
Classifier: J48 options: -C 0.25 -M 2 Window size: 512 Overlap: 5, 83.33333333333334%
Classifier: J48 options: -C 0.25 -M 2 Window size: 512 Overlap: 6, 85.73529411764706%
Classifier: J48 options: -C 0.25 -M 2 Window size: 512 Overlap: 7, 84.44767441860465%
Classifier: J48 options: -C 0.25 -M 2 Window size: 512 Overlap: 8, 82.99418604651163%
Classifier: J48 options: -C 0.25 -M 2 Window size: 512 Overlap: 9, 84.80113636363636%
Classifier: J48 options: -C 0.25 -M 2 Window size: 512 Overlap: 10, 85.25280898876404%
Classifier: J48 options: -C 0.25 -M 2 Window size: 512 Overlap: 11, 83.61111111111111%
Classifier: J48 options: -C 0.25 -M 2 Window size: 512 Overlap: 12, 86.94444444444444%
